Country,Province,District,Ward,Male,Female,Total,Households,Difference,M:F ratio,Total_District,Households_District,dist_Avg_House,prov(M/F),prov_Female %,prov_Male %,prov_Avg_house,dist_dist(M/F),dist_Female %,dist_Male %
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 01,3794,4125,7919,2429,331,92,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 02,12480,13758,26238,7106,1278,91,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 03,16636,18541,35177,9633,1905,90,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 04,13005,14134,27139,8155,1129,92,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 05,9611,10550,20161,5983,939,91,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 06,6142,6958,13100,3646,816,88,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 07,8433,8987,17420,4536,554,94,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 08,10519,11657,22176,5709,1138,90,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 09,11717,13300,25017,6708,1583,88,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 10,12639,14907,27546,7529,2268,85,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 11,7913,9719,17632,4755,1806,81,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 12,11892,13589,25481,6856,1697,88,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 13,8243,9359,17602,4803,1116,88,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 14,9082,10778,19860,5364,1696,84,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 15,6172,7297,13469,3448,1125,85,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 16,6771,8739,15510,4113,1968,77,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 17,7387,8848,16235,4263,1461,83,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 18,9769,11398,21167,5911,1629,86,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 19,8992,10552,19544,5164,1560,85,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 20,8146,10096,18242,4755,1950,81,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 21,12193,13516,25709,6597,1323,90,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 22,7784,9408,17192,4406,1624,83,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 23,7868,9453,17321,4673,1585,83,665952,178716,4,86,54,46,4,86,54,46
Zimbabwe,Bulawayo,Bulawayo Urban,Ward 24,9787,11456,21243,5629,1669,85,665952,178716,4,86,54,46,4,86,54,46
